,Company,ESP,Estimate_eps,Estimate_sales,Reported_eps,Reported_sales,cap,symbol,timing,before,after,close,spy_before,spy_after,cons,beta,r2,dev,macd_before,macd_after
2020-07-27,Koppers Holding...,,0.73,415.0,1.27,436.6,430.0,KOP,bmo,20.51,22.87,25.07,322.96,320.95,0.0030724703195646632,2.0860673648173655,0.49797229466664295,-1.1739954733216496,0.24159929583300288,0.1399244159252352
2020-07-27,Amkor Technolog...,,-0.02,1050.38,0.23,1172.91,2912.0,AMKR,amc,13.64,15.43,,322.96,320.95,0.00043951667628497923,1.5710010096912352,0.4384708565165786,4.1467124491595255,0.20763174180091098,0.042619165813252924
2020-07-27,Alexandria Real...,,1.81,,1.81,436.96,21257.0,ARE,amc,170.36,170.67,,322.96,320.95,-0.00013639468251420658,1.044667332615121,0.6926129953480746,-0.48022158734751497,0.4802311433683437,0.4313342900902708
2020-07-27,Nitto Denko Cor...,,,1532.41,0.37,1518.46,9170.0,NDEKY,bmo,29.23,31.13,30.05,322.96,320.95,-0.0004618963395562734,0.7737249932248969,0.5208341505387535,-0.17223380032246227,0.2073712434315973,0.09138351545838852
2020-07-27,Vermilion Energ...,,-0.62,153.53,-0.33,139.24,741.0,VET,bmo,4.72,4.72,4.72,322.96,320.95,0.007770424842565655,2.2850151139880657,0.390134656711578,-1.250628755206276,0.07118902733391966,0.07821085366094266
2020-07-27,Comfort Systems...,,0.32,693.4,1.08,743.47,1498.0,FIX,amc,43.01,43.01,,322.96,320.95,0.000952382194067546,1.4137808279168702,0.5967336408248609,0.40893027868732135,0.1426308960847965,0.11509592557990844
2020-07-27,Alliance Resour...,,-0.45,198.0,-0.37,255.2,431.0,ARLP,bmo,3.39,3.44,3.42,322.96,320.95,0.008884298561903554,1.7430150406460498,0.3081070657392101,-0.34705034366767595,0.03166553836123291,0.019922983754701556
2020-07-27,"F5 Networks, In...",,2.05,572.01,2.18,583.25,9263.0,FFIV,amc,151.24,144.61,,322.96,320.95,0.00027775573044691733,0.8027613765291972,0.46102580382072145,0.8778031685324642,0.2068905495652773,0.9277508460796065
2020-07-27,Sap Se,,1.28,7296.24,1.29,7423.38,189329.0,SAP,bmo,158.62,162.28,164.87,322.96,320.95,-0.0006055948175282312,0.9051053056697126,0.660341823026322,0.321519070491422,0.20408606961039322,0.3156568654711176
2020-07-27,"Hasbro, Inc.",,0.19,976.04,0.02,860.28,10631.0,HAS,bmo,77.59,75.0365,71.84,322.96,320.95,0.0026166134259732517,1.1990950723882872,0.48604587644978725,0.5075242329542778,0.08542447435526945,0.3829451398716617
