Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
BAH,Booz Allen Hamilton Holding Corp,74.25,2.38,3.31%,73.13,75.49,72.67,890400,4/9/2020
BAX,Baxter International Inc,86.89,2.41,2.85%,84.43,87.8,83.5,3891100,4/9/2020
BBY,Best Buy Company,65.99,1.54,2.39%,65.94,68.09,64.75,2729100,4/9/2020
BC,Brunswick Corp,38.24,3.87,11.26%,35.23,39.48,34.5,1826500,4/9/2020
BDN,Brandywine Realty Trust,11.49,0.81,7.58%,11.03,11.57,10.67,1513200,4/9/2020
BDX,Becton Dickinson and Company,247.45,-2.55,-1.02%,250,250.58,243.53,2389800,4/9/2020
BEN,Franklin Resources,16.81,-0.38,-2.21%,17.26,17.74,16.61,5304100,4/9/2020
BERY,Berry Global Group,37.5,1.53,4.25%,36.51,38.25,35.81,3127900,4/9/2020
BF.A,Brown Forman Inc Cl A,59.49,2.5,4.39%,56.99,60,56.99,87600,4/9/2020
BFAM,Bright Horizons Family Solutions Inc,117.04,5.66,5.08%,112.71,120,112.71,968300,4/9/2020
BF.B,Brown Forman Inc Cl B,62.89,1.67,2.73%,60.72,64.6,60.72,1173900,4/9/2020
BG,Bunge Ltd,40.83,1.39,3.52%,39.85,41.41,39.53,1360500,4/9/2020
BGCP,Bgc Partners Cl A,2.96,0.25,9.23%,2.78,3,2.76,4435000,4/9/2020
BHF,Brighthouse Financial Inc,27.52,2.03,7.96%,26.82,28.67,26.26,1614200,4/9/2020
BIIB,Biogen Inc,321.05,4.1,1.29%,315.1,322.45,314.01,1480200,4/9/2020
BILL,Bill.com Holdings Inc,42.34,-1.93,-4.36%,44.81,49.87,40.19,1467000,4/9/2020
BIO,Bio-Rad Laboratories,393.14,-9.92,-2.46%,405.37,408.7,392.59,284200,4/9/2020
BK,Bank of New York Mellon Corp,37.14,1.49,4.18%,36.34,37.88,36.17,8038600,4/9/2020
BKI,Black Knight Inc,63.48,0.22,0.35%,63.12,64.21,62.85,917400,4/9/2020
BKNG,Booking Holdings Inc,1420.64,48.58,3.54%,1424.76,1450,1403,1032800,4/9/2020
BKR,Baker Hughes A Ge Co. Cl A,12.86,-0.04,-0.31%,13.62,14.14,12.13,7340000,4/9/2020
BKU,BankUnited Inc,21.37,1.96,10.10%,19.84,21.6,19.74,1643000,4/9/2020
BLK,Blackrock,471.42,20.45,4.53%,460,478.69,458.43,1154600,4/9/2020
BLL,Ball Corp,69.94,2.35,3.48%,68.14,70.47,67.72,4218700,4/9/2020
BLUE,Bluebird Bio,46.5,3.46,8.04%,43.71,47.53,43.66,1843000,4/9/2020
BMRN,Biomarin Pharmaceuticals,79.55,-0.05,-0.06%,79.06,81.19,78.77,1329500,4/9/2020
BMY,Bristol-Myers Squibb Company,58.91,0.66,1.13%,58.8,59.58,58.37,13256800,4/9/2020
BOH,Bank of Hawaii Corp,62.72,3.69,6.25%,60.56,62.97,60.13,204400,4/9/2020
BOKF,Bok Financial Corp,53.72,3.87,7.76%,51.52,55.87,51.52,422100,4/9/2020
BPOP,Popular Inc,39.07,0.86,2.25%,38.67,40.93,38.15,1988300,4/9/2020
BPYU,Brookfield Property REIT Inc,10.77,0.69,6.85%,10.3,11.63,10.21,1904100,4/9/2020
BR,Broadridge Financial Solutions Llc,105.91,3.81,3.73%,102.53,106.37,101.4,1271300,4/9/2020
BRK.B,Berkshire Hathaway Cl B,193.84,2.83,1.48%,194,197.23,191.45,10525200,4/9/2020
BRKR,Bruker Corp,36.8,-0.19,-0.51%,37.37,37.79,36.13,1382900,4/9/2020
BRO,Brown & Brown,39.03,1.83,4.92%,37.69,39.19,37.56,1433100,4/9/2020
BRX,Brixmor Property Group Inc,11.33,1.57,16.09%,10.34,11.94,10.09,8297500,4/9/2020
BSX,Boston Scientific Corp,36.83,1.7,4.84%,35.25,37.24,34.99,19098801,4/9/2020
BURL,Burlington Stores Inc,176.89,1.18,0.67%,179.86,187.85,175.65,710600,4/9/2020
BWA,Borgwarner Inc,25.74,0.21,0.82%,26.24,27.1,25.56,4216400,4/9/2020
BWXT,Bwx Technologies Inc,51.3,0.86,1.70%,51.48,52.67,50.76,761100,4/9/2020
BXP,Boston Properties,106,6.09,6.10%,102.27,107.15,102.18,1938400,4/9/2020
BYND,Beyond Meat Inc,72.3,2.83,4.07%,71.68,74.72,70.6,3338200,4/9/2020
C,Citigroup Inc,47.41,3.15,7.12%,46.94,49.22,46.37,43659203,4/9/2020
